,team,epa,auto_epa,teleop_epa,endgame_epa,rp_1_epa,rp_2_epa
50848,2834,37.87,13.73,15.93,8.21,0.1125,0.4272
50849,5110,25.73,8.74,8.87,8.12,-0.1157,0.1306
50850,5247,19.03,6.03,5.87,7.13,-0.2493,0.3327
50851,910,39.48,13.99,22.38,3.11,-0.0513,0.3466
50852,1711,38.51,12.67,16.75,9.08,0.1052,0.5323
50853,3767,46.23,12.09,26.6,7.54,0.0978,0.5293
50854,2834,38.04,13.78,15.83,8.42,0.1125,0.4272
50855,5110,25.89,8.79,8.77,8.33,-0.1157,0.1306
50856,5534,27.89,10.69,12.95,4.25,-0.1228,0.142
50857,3603,35.1,8.72,17.77,8.62,0.104,0.3396
50858,4377,36.94,10.7,21.99,4.24,-0.0663,0.0779
50859,3767,45.94,11.73,26.81,7.4,0.0978,0.5293
50860,2834,37.75,13.43,16.05,8.28,0.1125,0.4272
50861,5110,25.61,8.43,8.99,8.19,-0.1157,0.1306
50862,5534,27.73,10.59,12.73,4.41,-0.1228,0.142
50863,3603,34.94,8.62,17.55,8.78,0.104,0.3396
50864,4377,36.78,10.6,21.77,4.41,-0.0663,0.0779
50865,3767,46.27,11.81,27.12,7.34,0.0978,0.5293
50866,2834,38.08,13.51,16.36,8.21,0.1125,0.4272
50867,5110,25.94,8.51,9.3,8.13,-0.1157,0.1306
50868,5534,28.33,10.7,12.81,4.82,-0.1228,0.142
50869,3603,35.55,8.72,17.63,9.19,0.104,0.3396
50870,4377,37.38,10.71,21.86,4.82,-0.0663,0.0779
50871,3767,46.15,11.88,26.98,7.28,0.0978,0.5293
50872,2834,37.96,13.58,16.22,8.16,0.1125,0.4272
50873,5110,25.82,8.58,9.16,8.07,-0.1157,0.1306
50874,7248,20.43,5.67,9.49,5.26,-0.1487,0.1002
50875,4967,32.26,8.67,15.28,8.32,-0.0278,0.2328
50876,1025,39.33,12.68,20.08,6.58,-0.1135,0.2988
50877,70,46.25,12.03,25.12,9.1,-0.0918,0.4684
50878,5927,21.33,6.82,11.35,3.16,-0.1319,0.0577
50879,74,36.02,10.61,17.83,7.58,-0.1267,0.2975
50880,6094,22.27,4.96,10.95,6.36,-0.0678,0.2304
50881,6428,9.48,1.64,1.92,5.92,-0.1533,-0.012
50882,6090,26.52,7.36,12.33,6.83,-0.0968,0.152
50883,9206,17.57,4.88,8.17,4.53,-0.173,0.0759
50884,4855,12.44,4.87,6.69,0.88,-0.1562,-0.0651
50885,6128,21.46,4.14,11.4,5.92,0.0413,0.2202
50886,4395,22.41,6.22,10.42,5.77,-0.1318,0.117
50887,27,47.76,14.16,24.98,8.63,0.3917,0.4799
50888,3234,30.7,12.55,9.61,8.53,-0.1939,0.4706
50889,2959,20.64,7.86,7.5,5.28,-0.1445,0.1312
50890,6877,22.68,5.38,9.99,7.31,-0.0718,0.1487
50891,5462,27.29,9.2,11.92,6.16,-0.1361,0.2069
50892,2054,41.12,8.62,25.84,6.66,-0.1107,0.2348
50893,1918,37.89,13.4,16.75,7.74,-0.0822,0.388
50894,8612,16.61,7.79,4.9,3.92,-0.1863,0.1004
50895,5980,17.41,4.09,7.9,5.42,-0.1686,0.0011
50896,4337,18.56,5.76,6.56,6.24,-0.148,0.2657
50897,107,35.41,9.83,16.46,9.12,-0.0211,0.2278
50898,3357,50.02,11.13,29.52,9.36,0.5907,0.5246
50899,9222,17.57,4.88,8.17,4.53,-0.173,0.0759
50900,141,27.4,8.35,10.59,8.46,-0.0931,0.2658
50901,5610,18.4,3.83,10.24,4.33,-0.1565,0.0826
50902,5702,19.47,4.78,9.49,5.19,-0.092,0.162
50903,5150,17.49,2.01,5.63,9.85,-0.1906,0.1434
50904,85,40.54,11.68,20.65,8.21,-0.1182,0.5056
50905,3458,21.3,5.14,10.43,5.73,0.0979,0.0927
50906,5567,20.57,7.22,8.32,5.03,-0.1081,-0.017
50907,5470,11.47,1.86,5.18,4.42,-0.2593,0.0753
50908,494,49.5,17.11,25.71,6.69,-0.0913,0.392
50909,9248,10.49,3.37,4.05,3.07,-0.1122,-0.1836
50910,5248,17.1,4.72,8.69,3.69,-0.0835,0.134
50911,70,49.39,12.99,27.09,9.32,0.005,0.4899
50912,6114,18.01,5.0,8.37,4.64,-0.1693,0.0796
50913,4003,39.34,10.03,21.83,7.48,0.0274,0.3352
50914,6094,27.14,6.06,14.43,6.65,-0.0714,0.2931
50915,74,39.16,11.56,19.8,7.8,-0.0299,0.319
50916,5980,16.67,5.31,6.07,5.29,-0.172,0.0517
50917,1025,42.03,12.98,22.29,6.76,-0.0175,0.3359
50918,6877,25.52,6.23,11.65,7.64,-0.075,0.2
50919,4395,19.26,4.13,9.46,5.68,-0.0468,0.0264
50920,7248,24.92,5.97,13.51,5.45,-0.0528,0.1373
50921,6428,14.35,2.74,5.4,6.21,-0.157,0.0507
50922,9222,18.91,5.14,9.47,4.29,-0.2061,0.0946
50923,6090,34.64,8.46,19.05,7.12,-0.1005,0.2147
50924,4855,13.99,5.08,6.96,1.94,-0.1603,0.0095
50925,4337,17.83,6.98,4.73,6.11,-0.1514,0.3162
50926,4967,34.96,8.97,17.49,8.5,0.0681,0.2699
50927,5150,18.16,2.14,7.5,8.51,-0.1928,0.1044
50928,85,40.7,12.28,21.11,7.32,-0.1257,0.4475
50929,107,34.18,11.05,14.14,8.99,-0.0245,0.2783
50930,8612,18.15,8.32,5.29,4.54,-0.1892,0.1294
50931,6128,23.01,4.35,11.67,6.98,0.0372,0.2948
50932,141,28.2,8.61,11.36,8.22,-0.1262,0.2845
50933,5567,20.73,7.81,8.78,4.14,-0.1156,-0.075
50934,2054,42.66,9.15,26.24,7.27,-0.1136,0.2639
50935,5248,17.65,5.45,9.07,3.13,-0.0883,0.0647
50936,2959,23.48,8.72,9.16,5.6,-0.1477,0.1825
50937,9248,12.54,3.83,4.85,3.86,-0.1143,-0.1132
50938,9206,20.16,5.09,9.48,5.6,-0.1771,0.1505
50939,5610,19.07,3.97,12.11,2.99,-0.1588,0.0436
50940,5702,20.13,4.92,11.35,3.86,-0.0943,0.123
